Question,Link,Upvotes,Comments,Timestamp,Image,Answer
"Are there any real life "lost world" ecosystems?",https://www.quora.com/Are-there-any-real-life-lost-world-ecosystems,14194,527,9mo,https://qph.fs.quoracdn.net/main-qimg-feb9260fc47006cd457409c95355b82d-lq,"In the northeast of South America, there lies a sprawling geological formation known as the Guiana Shield; an expanse of 1.7 billion year old rock. Long ago, it was a high plateau of sedimentary stone, but most of it has since been eroded away. What remains of this ancient highland are immense blocks...(more)"
"Is there any land on Earth where vertebrates do not dominate?",https://www.quora.com/Is-there-any-land-on-Earth-where-vertebrates-do-not-dominate,867,17,Mon,https://qph.fs.quoracdn.net/main-qimg-8dde7e0069b193d77c610485c9d828a5-lq,"One would think that, with vertebrates having ruled the world's terrestrial ecosystems for hundreds of millions of years, it would be impossible for such a place to exist on the modern Earth. Surprisingly, one would be wrong. There is one spot which is so small and remote that no predatory land vert...(more)"
"What is your favorite carnivorous plant?",https://www.quora.com/What-is-your-favorite-carnivorous-plant,285,38,Sun,https://qph.fs.quoracdn.net/main-qimg-a35f142e7d60015568c371cc4853a4a6-pjlq,"This is a painfully difficult question to answer, as basically all carnivorous plants are fascinating. However, if I had to choose, there's one group which stands out to me as the most interesting of all, and for that reason, it's my favourite. The group in question is the genus Nepenthes, otherwise...(more)"
"What is the weirdest kind of amphibian?",https://www.quora.com/What-is-the-weirdest-kind-of-amphibian,2457,109,Jan 15,https://qph.fs.quoracdn.net/main-qimg-664f6161bd4d44dadb77def497be016a-lq,"There are a handful of possible answers to this question, but for me, the answer is clear: caecilians. Most people have heard of two of the main amphibian groups: the anurans (frogs) and the caudates (salamanders). However, unbeknownst to many, there is a third - and extremely bizarre - group, known...(more)"
"If there are big cats, why are there no big dogs?",https://www.quora.com/If-there-are-big-cats-why-are-there-no-big-dogs,8598,339,Updated Jan 8,https://qph.fs.quoracdn.net/main-qimg-5fc67ee4b464633e1f2c235ae29cfeb9,"Most of today's large, land-dwelling carnivores can be divided into two categories: the cursorial (running) pack hunters and the solitary ambush predators. It would seem that, for mammals at least, these are the two most efficient survival strategies, because several groups have independently evolve...(more)"
"What are some amazing facts about sharks?",https://www.quora.com/What-are-some-amazing-facts-about-sharks,547,39,Jan 1,https://qph.fs.quoracdn.net/main-qimg-4038c613f572e8607ba049c3bbba1cf1,"For such a diverse and influential group of animals, sharks have made precious little appearances in my previous answers. This question will be a good opportunity to remedy that negligence. They've been around for a staggering 420 million years, predating the first dinosaurs, the first land-dwelling...(more)"
"What interesting species of animals (both modern and extinct) were discovered in 2021?",https://www.quora.com/What-interesting-species-of-animals-both-modern-and-extinct-were-discovered-in-2021,835,67,Dec 29,https://qph.fs.quoracdn.net/main-qimg-2a3bf5adc2061f7e1f2659406c622b64-lq,"The most unique animal discovery of 2021 was the brittle star Ophiojura exbodi. It represents not only a new species, but a new genus and a new family as well! Such is its distinctness from any other known brittle star. It was found 400 metres below sea level, off the coast of New Caledonia. This inv...(more)"
"Deep sea life is weird. But what kind of animals live at the bottom parts of the world's deepest freshwater lakes?",https://www.quora.com/Deep-sea-life-is-weird-But-what-kind-of-animals-live-at-the-bottom-parts-of-the-worlds-deepest-freshwater-lakes,2158,102,Dec 25,https://qph.fs.quoracdn.net/main-qimg-9b9efd746625747495a1cc199f75da7b,"The world's deepest and most voluminous lakes form when water gathers in tectonic rifts: the immense volcanic chasms found wherever the Earth's crust is pulling apart. These rift valley lakes are also the world's most ancient, as the gorges they fill remain geologically stable for millions of years. ...(more)"
"What is the most neurologically advanced group of arthropods?",https://www.quora.com/What-is-the-most-neurologically-advanced-group-of-arthropods,1264,50,Dec 19,https://qph.fs.quoracdn.net/main-qimg-5f520c718c27cda76b48093ad5acf39f-lq,"Neurological advancement is a very difficult concept to define or measure, and perhaps not even one that really exists. However, what I think you're getting at is what's usually vaguely referred to as 'intelligence'; in other words, behavioural complexity. So, which arthropod has the most complex beh...(more)"
"What are some terrifying extinct animals that existed before the dinosaurs?",https://www.quora.com/What-are-some-terrifying-extinct-animals-that-existed-before-the-dinosaurs,1716,55,Dec 13,https://qph.fs.quoracdn.net/main-qimg-76f5ebd5114193600abaae8f4e2868f3-lq,"There was a time, shortly before the dinosaurs came to domineer over the world, when the most prevalent large animals on land were suchians; relatives of crocodiles. These reptiles fulfilled many roles in the ecosystems of the Early Triassic, including those of apex predators. In rivers and lakes, th...(more)"
